Train loss,Train acc,Val loss,Val acc
1.8157,0.3063,1.4161,0.4542
1.3943,0.4886,1.2232,0.5538
1.2159,0.5616,1.1179,0.6069
1.0807,0.6165,0.9634,0.6606
0.994,0.6489,0.9559,0.6661
0.929,0.6773,0.8388,0.7094
0.8702,0.6969,0.7815,0.7295
0.819,0.7163,0.79,0.7278
0.7834,0.7305,0.7476,0.7442
0.7482,0.744,0.7172,0.7601
0.7246,0.7516,0.7045,0.7643
0.704,0.7601,0.6869,0.7661
0.6771,0.7696,0.6849,0.7691
0.6555,0.7767,0.6458,0.7806
0.644,0.7808,0.6738,0.775
0.6321,0.7838,0.6494,0.7837
0.6182,0.7913,0.6517,0.7782
0.602,0.7952,0.6289,0.7931
0.5807,0.8015,0.5779,0.8095
0.5715,0.8058,0.6269,0.7957
0.5632,0.809,0.5828,0.8044
0.5609,0.8086,0.5883,0.8047
0.5477,0.8152,0.5679,0.8134
0.5381,0.8177,0.5887,0.8075
0.5331,0.8187,0.585,0.813
0.5295,0.82,0.5541,0.8117
0.5262,0.8229,0.5693,0.8114
0.515,0.8249,0.5478,0.8196
0.5049,0.8287,0.6108,0.8003
0.5025,0.8299,0.5446,0.8212
0.4883,0.8327,0.6103,0.8101
0.4897,0.8349,0.5615,0.818
0.4824,0.8368,0.5349,0.8285
0.4705,0.8412,0.5395,0.8231
0.4706,0.8414,0.5388,0.8287
0.4723,0.8421,0.5077,0.8303
0.4594,0.8451,0.5554,0.8203
0.4572,0.8471,0.506,0.8328
0.4477,0.8496,0.5348,0.8258
0.4473,0.8479,0.5362,0.8268
0.4422,0.8518,0.5205,0.831
0.4416,0.8519,0.5123,0.8324
0.4304,0.8557,0.5305,0.8291
0.4227,0.8566,0.5356,0.8285
0.4298,0.8549,0.5499,0.8252
0.4252,0.8579,0.5125,0.8349
0.4155,0.8619,0.5225,0.8323
0.4153,0.8601,0.5347,0.8343
0.4144,0.8609,0.5168,0.8351
0.4054,0.8638,0.5033,0.8368
0.4094,0.8625,0.6022,0.8145
0.4078,0.8629,0.5129,0.8372
0.3985,0.8666,0.5114,0.839
0.4191,0.8597,0.5501,0.8323
0.4018,0.866,0.511,0.8417
0.397,0.8667,0.5227,0.8315
0.3971,0.8662,0.5181,0.8371
0.3765,0.8731,0.488,0.8438
0.3848,0.8705,0.5249,0.8336
0.3769,0.8733,0.5272,0.8367
0.3821,0.8726,0.5227,0.8371
0.3754,0.8748,0.5133,0.8349
0.3745,0.8767,0.521,0.8352
0.3788,0.8739,0.5137,0.8358
0.3713,0.8777,0.4976,0.8449
0.3715,0.875,0.5802,0.8278
0.3642,0.8796,0.5246,0.8361
0.363,0.8787,0.5126,0.8415
0.3562,0.8811,0.5135,0.8431
0.3602,0.8787,0.5066,0.8446
0.3525,0.8833,0.4991,0.838
0.3658,0.8806,0.5528,0.8262
0.3546,0.8839,0.5391,0.8382
0.3475,0.8842,0.5269,0.8395
0.3516,0.8834,0.5272,0.841
0.8562,0.737,0.5819,0.8207
0.4422,0.8566,0.5137,0.8395
0.3931,0.8698,0.5273,0.8352
0.3656,0.8805,0.49,0.846
0.3518,0.8847,0.5158,0.8411
0.3433,0.8858,0.5199,0.833
0.3607,0.8813,0.4848,0.844
0.3375,0.8892,0.4962,0.85
0.3312,0.891,0.5176,0.841
0.3382,0.8903,0.5283,0.85
0.3308,0.8908,0.5282,0.8426
0.3247,0.8932,0.5483,0.8422
0.3311,0.8923,0.5606,0.8395
0.4972,0.84,0.5221,0.8377
0.3793,0.8758,0.5243,0.84
0.3356,0.8904,0.5175,0.8439
0.3781,0.8783,0.5173,0.842
0.3295,0.8932,0.5196,0.8477
0.3172,0.8965,0.5293,0.8391
0.3221,0.8956,0.4929,0.8485
0.3194,0.8958,0.5379,0.8477
0.3241,0.895,0.5631,0.8375
0.323,0.8964,0.5531,0.8444
0.3276,0.8953,0.5325,0.8468
0.3221,0.8956,0.5245,0.8471
