Train loss,Train acc,Val loss,Val acc
1.8523,0.2849,1.6586,0.3805
1.5662,0.4062,1.475,0.4534
1.405,0.4789,1.2775,0.5373
1.2787,0.5342,1.166,0.5817
1.1775,0.576,1.1176,0.5914
1.1118,0.6029,1.1196,0.6003
1.0457,0.6247,1.013,0.6491
1.0089,0.6404,0.9629,0.6581
0.9648,0.6565,0.9078,0.6802
0.9324,0.6678,0.885,0.6885
0.8972,0.6806,0.9645,0.666
0.8818,0.6872,0.8267,0.7091
0.8533,0.6979,0.823,0.7066
0.8256,0.7109,0.8519,0.7037
0.8042,0.7153,0.7714,0.7336
0.7788,0.7251,0.7609,0.7313
0.7617,0.7313,0.8015,0.7217
0.7403,0.7387,0.7556,0.7365
0.7202,0.748,0.7265,0.7483
0.7086,0.7527,0.6932,0.7562
0.6924,0.7577,0.6921,0.7626
0.6704,0.7654,0.6773,0.7669
0.6609,0.7696,0.7313,0.758
0.6427,0.7775,0.7046,0.7581
0.6276,0.7813,0.6252,0.7818
0.6165,0.7852,0.6447,0.782
0.6067,0.7886,0.6238,0.7847
0.5994,0.7928,0.6175,0.7875
0.581,0.798,0.5839,0.7991
0.5681,0.8023,0.612,0.7937
0.5636,0.8058,0.6087,0.794
0.5535,0.8105,0.569,0.8034
0.5456,0.8115,0.5772,0.8069
0.5328,0.8154,0.5571,0.8105
0.5283,0.8172,0.5722,0.8094
0.5154,0.8203,0.5793,0.801
0.5094,0.8246,0.5633,0.8136
0.5008,0.8266,0.5397,0.8153
0.4902,0.8312,0.5353,0.8227
0.4856,0.8316,0.5297,0.8191
0.4819,0.8314,0.5614,0.8136
0.4718,0.8357,0.5474,0.8222
0.4692,0.8361,0.5315,0.8226
0.456,0.8422,0.4948,0.8379
0.4573,0.8432,0.5071,0.8278
0.453,0.8445,0.5198,0.83
0.4467,0.847,0.5116,0.8297
0.4391,0.8482,0.5166,0.8284
0.441,0.8476,0.4984,0.8315
0.4282,0.8528,0.5304,0.8243
0.4243,0.8524,0.5231,0.8316
0.4234,0.8516,0.5004,0.843
0.4139,0.8559,0.5171,0.8295
0.4126,0.8563,0.4862,0.8374
0.4074,0.8591,0.4994,0.8361
0.4026,0.8595,0.5213,0.8325
0.4039,0.86,0.4721,0.8452
0.3896,0.8627,0.4995,0.843
0.3988,0.8616,0.4886,0.8405
0.3893,0.8644,0.4627,0.8483
0.3866,0.8662,0.4912,0.8462
0.3768,0.8691,0.4883,0.8431
0.3752,0.8707,0.4982,0.8391
0.3711,0.8698,0.4803,0.8432
0.3722,0.8707,0.5145,0.8441
0.3715,0.8704,0.4921,0.8432
0.3624,0.8738,0.5399,0.836
0.3653,0.8726,0.4851,0.8484
0.3601,0.8748,0.5151,0.8433
0.3573,0.876,0.5105,0.8408
0.351,0.8763,0.5406,0.8352
0.3483,0.8788,0.4799,0.8465
0.3517,0.8779,0.4766,0.8464
0.3472,0.8799,0.4838,0.8486
0.3405,0.8817,0.4701,0.847
0.3437,0.8798,0.4834,0.8489
0.3385,0.8823,0.4728,0.8495
0.338,0.8812,0.492,0.8483
0.3382,0.8813,0.4561,0.8555
0.3293,0.8861,0.5219,0.8383
0.3257,0.8862,0.4759,0.8526
0.3308,0.8823,0.5089,0.8439
0.3222,0.8869,0.5413,0.8387
0.3274,0.8862,0.4908,0.8521
0.3212,0.8883,0.507,0.8472
0.325,0.8872,0.5054,0.8472
0.3208,0.8878,0.4717,0.8533
0.3228,0.8864,0.4957,0.8494
0.313,0.8903,0.4902,0.8514
0.3161,0.8897,0.5013,0.8447
0.3093,0.892,0.4827,0.8554
0.3097,0.8911,0.5043,0.8525
0.3084,0.8917,0.4862,0.8532
0.3074,0.8917,0.5138,0.8541
0.305,0.8928,0.5235,0.8439
0.2973,0.8959,0.5101,0.8483
0.3,0.8949,0.4732,0.8574
0.3042,0.8936,0.4934,0.8482
0.2966,0.8953,0.4875,0.8527
0.2932,0.8971,0.4848,0.8544
