Train loss,Train acc,Val loss,Val acc
1.6721,0.3669,1.6557,0.4149
1.2505,0.5417,1.4459,0.5214
1.0316,0.6278,0.9556,0.6596
0.8857,0.6854,0.8183,0.7111
0.7625,0.7327,0.8456,0.7089
0.6666,0.768,0.8021,0.7357
0.5926,0.796,0.7065,0.7606
0.5371,0.8163,0.5973,0.7971
0.4827,0.8341,0.5405,0.8215
0.4464,0.8476,0.6511,0.7872
0.4164,0.8573,0.5358,0.8241
0.3864,0.8684,0.4826,0.8431
0.3559,0.8765,0.4457,0.8518
0.3355,0.8844,0.4371,0.8572
0.3075,0.8931,0.4696,0.8516
0.295,0.8981,0.403,0.8709
0.2798,0.9029,0.4548,0.8541
0.2715,0.9068,0.3869,0.8779
0.2476,0.915,0.3959,0.8752
0.2344,0.9188,0.3833,0.8738
0.2228,0.9225,0.3767,0.8797
0.2124,0.9264,0.3752,0.8818
0.1991,0.9312,0.3826,0.8796
0.1884,0.9344,0.3423,0.8905
0.1804,0.9377,0.3587,0.8909
0.1764,0.9399,0.351,0.898
0.161,0.9446,0.3909,0.8839
0.1537,0.9467,0.3505,0.8981
0.1467,0.9494,0.3304,0.9048
0.1402,0.9505,0.3443,0.9051
0.1329,0.9533,0.3656,0.8928
0.1258,0.9565,0.3741,0.8958
0.12,0.9578,0.395,0.8915
0.1149,0.9587,0.3481,0.9036
0.1093,0.9613,0.3809,0.9004
0.1053,0.9628,0.3787,0.8983
0.0984,0.9652,0.3689,0.9034
0.0978,0.9657,0.3559,0.9041
0.0923,0.9677,0.3831,0.8975
0.0889,0.9693,0.4144,0.8985
0.0861,0.9702,0.3803,0.9057
0.0809,0.9713,0.3901,0.9003
0.0775,0.9728,0.388,0.9028
0.0752,0.9731,0.4008,0.9002
0.0742,0.9736,0.3857,0.9064
0.0735,0.9741,0.361,0.9067
0.0683,0.9767,0.4244,0.9012
0.0665,0.9765,0.3659,0.9095
0.0612,0.9787,0.4385,0.8991
0.0605,0.9793,0.3734,0.9114
0.0618,0.9783,0.3863,0.9065
0.0581,0.9794,0.4449,0.9027
0.0576,0.9798,0.4072,0.9069
0.0522,0.982,0.426,0.9049
0.0516,0.9819,0.407,0.9098
0.0565,0.9801,0.4493,0.9015
0.0493,0.9824,0.4412,0.9066
0.0497,0.9827,0.3997,0.9127
0.0478,0.9831,0.4552,0.903
0.0468,0.9838,0.3949,0.9126
0.0432,0.9855,0.4086,0.9142
0.0446,0.9848,0.443,0.9086
0.0444,0.9852,0.4916,0.8968
0.0436,0.9847,0.4416,0.9117
0.0419,0.9852,0.4163,0.9124
0.0438,0.9846,0.44,0.9082
0.0382,0.9862,0.4106,0.913
0.0376,0.987,0.4403,0.9069
0.038,0.9865,0.4137,0.9109
0.0399,0.9859,0.4143,0.9133
0.0364,0.9876,0.5201,0.8973
0.0372,0.9873,0.4424,0.9113
0.0348,0.9885,0.4431,0.912
0.0357,0.9879,0.4596,0.907
0.038,0.9872,0.4182,0.9097
0.0315,0.9888,0.4392,0.9131
0.0333,0.9886,0.4647,0.9134
0.0332,0.9887,0.4356,0.9117
0.0321,0.9891,0.4608,0.911
0.0345,0.9882,0.448,0.9134
0.0319,0.9891,0.4435,0.9157
0.0288,0.9903,0.4525,0.9124
0.0299,0.9895,0.4501,0.9129
0.0308,0.9896,0.4397,0.9168
0.028,0.9901,0.4323,0.9153
0.0304,0.9895,0.4421,0.9132
0.0289,0.9898,0.417,0.9168
0.025,0.9915,0.4507,0.9144
0.0309,0.9897,0.4327,0.9119
0.0253,0.9913,0.4164,0.9194
0.0283,0.99,0.4411,0.9126
0.0264,0.991,0.4888,0.9103
0.0248,0.992,0.4544,0.9114
0.0303,0.9893,0.4238,0.9182
0.023,0.9921,0.3848,0.9226
0.0274,0.9909,0.4208,0.9182
0.026,0.9913,0.4374,0.9178
0.0242,0.9914,0.4322,0.9172
0.0246,0.9915,0.4298,0.9147
0.0229,0.992,0.4712,0.9119
