Train loss,Train acc,Val loss,Val acc
1.8026,0.317,1.5711,0.4106
1.4514,0.4646,1.3414,0.5113
1.2652,0.5418,1.2398,0.5514
1.1421,0.5873,1.1768,0.586
1.0468,0.6227,1.0558,0.6273
0.9746,0.6517,0.9484,0.6639
0.9096,0.6755,0.9362,0.6724
0.8573,0.6955,0.9118,0.6873
0.8066,0.7138,0.8552,0.704
0.7678,0.728,0.8936,0.6961
0.726,0.7439,0.7752,0.7313
0.6917,0.7571,0.7741,0.7353
0.6586,0.7689,0.7253,0.7546
0.6333,0.7772,0.6984,0.76
0.604,0.7876,0.734,0.7482
0.5831,0.7959,0.6351,0.7828
0.5603,0.8048,0.6933,0.7702
0.548,0.8083,0.6164,0.7879
0.529,0.8145,0.642,0.7832
0.5128,0.8209,0.6136,0.7928
0.4974,0.8287,0.6311,0.7943
0.4824,0.8337,0.5942,0.7998
0.469,0.8371,0.5677,0.8092
0.4622,0.8382,0.6213,0.7935
0.4463,0.8449,0.5728,0.8116
0.4328,0.8491,0.5105,0.8307
0.4207,0.8548,0.5417,0.8234
0.4128,0.8556,0.5414,0.8196
0.4041,0.8597,0.5391,0.8206
0.3998,0.8609,0.5332,0.8254
0.3893,0.8641,0.6068,0.8003
0.3821,0.8669,0.5234,0.8294
0.3702,0.8717,0.5102,0.833
0.3629,0.8718,0.4653,0.8472
0.3598,0.8752,0.5315,0.8283
0.3502,0.8774,0.5078,0.8384
0.3432,0.88,0.5608,0.8199
0.3362,0.8816,0.5225,0.8292
0.3277,0.8862,0.5407,0.8259
0.3274,0.8848,0.4988,0.8363
0.3234,0.8872,0.5139,0.8351
0.3133,0.8908,0.5061,0.8399
0.3125,0.8906,0.532,0.8342
0.3038,0.8936,0.4858,0.8436
0.3026,0.8948,0.4967,0.8444
0.2968,0.8964,0.4687,0.8499
0.2878,0.8989,0.471,0.8478
0.2832,0.9017,0.5052,0.8414
0.2738,0.9038,0.4687,0.8533
0.2739,0.9035,0.5382,0.8376
0.2699,0.9053,0.5251,0.8366
0.2653,0.9072,0.5379,0.8373
0.2591,0.9093,0.5057,0.8416
0.2555,0.91,0.4828,0.8502
0.2497,0.9121,0.4547,0.8588
0.2476,0.9139,0.4859,0.8503
0.2448,0.915,0.4481,0.86
0.2361,0.9174,0.4612,0.8573
0.2359,0.9167,0.4813,0.8532
0.2325,0.9182,0.4643,0.8561
0.232,0.9192,0.4901,0.8502
0.2255,0.9212,0.4643,0.8604
0.2227,0.9217,0.4772,0.8562
0.2195,0.9236,0.648,0.8151
0.2183,0.9225,0.4983,0.8475
0.2136,0.9244,0.4703,0.8585
0.213,0.9259,0.503,0.847
0.2083,0.9261,0.514,0.85
0.2023,0.9282,0.4408,0.8679
0.2004,0.9286,0.4411,0.8677
0.1942,0.9322,0.5145,0.8488
0.2006,0.9282,0.5139,0.8517
0.195,0.9333,0.471,0.8578
0.1868,0.9335,0.5039,0.8507
0.1855,0.9352,0.4835,0.8611
0.1853,0.9345,0.4848,0.862
0.1833,0.9362,0.4687,0.8648
0.1775,0.9375,0.5156,0.8561
0.1799,0.935,0.4679,0.8626
0.1757,0.9375,0.5106,0.8589
0.1709,0.9403,0.4753,0.8622
0.1706,0.9401,0.485,0.8577
0.1282,0.9561,0.4072,0.8788
0.1167,0.9606,0.4,0.8806
0.1105,0.9634,0.4052,0.88
0.1124,0.9628,0.4006,0.8841
0.1057,0.9656,0.4032,0.8817
0.107,0.9641,0.4083,0.8802
0.107,0.9654,0.4084,0.8807
0.1054,0.9647,0.4097,0.8795
0.1011,0.9667,0.4088,0.8821
0.1004,0.9662,0.4094,0.8806
0.0997,0.967,0.4074,0.8797
0.0985,0.9678,0.4152,0.8803
0.0988,0.9673,0.4135,0.8811
0.0967,0.9682,0.418,0.8791
0.0992,0.9675,0.4172,0.8799
0.0956,0.9684,0.4172,0.8823
0.0943,0.9684,0.4173,0.8802
0.0949,0.9695,0.4166,0.8816
0.0928,0.9697,0.4186,0.8792
0.0919,0.97,0.4193,0.8808
0.0931,0.9694,0.4211,0.8794
0.0928,0.9694,0.426,0.8791
0.0895,0.9711,0.4211,0.8818
0.0907,0.9708,0.4265,0.8804
0.0903,0.9701,0.4234,0.8818
