Train loss,Train acc,Val loss,Val acc
1.4655,0.4581,1.5091,0.5124
0.9768,0.6501,1.1014,0.6321
0.7559,0.7357,0.749,0.7424
0.6255,0.7822,0.6571,0.778
0.5419,0.8113,0.6199,0.7967
0.481,0.8345,0.5121,0.8245
0.4248,0.8537,0.5289,0.8263
0.3929,0.8627,0.4778,0.8429
0.3583,0.8756,0.4237,0.8595
0.3348,0.8848,0.4339,0.8613
0.301,0.8957,0.4734,0.8461
0.2837,0.9021,0.392,0.8749
0.2638,0.9075,0.3583,0.8807
0.2448,0.9156,0.4534,0.8553
0.2234,0.9228,0.4144,0.8732
0.2122,0.9257,0.3908,0.8799
0.1982,0.9305,0.3536,0.8911
0.1842,0.935,0.3542,0.8935
0.1709,0.9405,0.4048,0.882
0.158,0.9446,0.3661,0.8961
0.1479,0.9484,0.3562,0.8955
0.1385,0.9515,0.3642,0.8993
0.1289,0.955,0.3843,0.8923
0.1203,0.958,0.4119,0.8899
0.1185,0.9584,0.3311,0.91
0.1069,0.9622,0.4557,0.8863
0.1034,0.963,0.3329,0.9094
0.0988,0.965,0.3905,0.8991
0.0887,0.9683,0.4583,0.8889
0.086,0.9695,0.3678,0.9087
0.0835,0.9701,0.3757,0.9107
0.0747,0.9727,0.3797,0.9077
0.0749,0.973,0.3654,0.9127
0.0685,0.9768,0.3951,0.9108
0.0624,0.978,0.4185,0.9084
0.0687,0.9751,0.4087,0.9091
0.0653,0.9765,0.3719,0.9112
0.0574,0.9802,0.3913,0.9115
0.0543,0.981,0.3767,0.9201
0.055,0.981,0.3926,0.9141
0.0511,0.9822,0.3817,0.9168
0.0536,0.9817,0.401,0.9088
0.049,0.983,0.3873,0.9139
0.0454,0.9843,0.4136,0.9133
0.0449,0.9844,0.4469,0.911
0.0445,0.9847,0.3751,0.9196
0.0433,0.9849,0.3889,0.9161
0.0448,0.9842,0.372,0.9164
0.0416,0.9853,0.4125,0.9148
0.0425,0.9851,0.4055,0.917
0.0371,0.9872,0.4168,0.9166
0.0363,0.9869,0.4025,0.9155
0.0367,0.9869,0.42,0.9168
0.0361,0.9875,0.3834,0.9191
0.0333,0.988,0.4106,0.918
0.0379,0.9867,0.4163,0.9184
0.0316,0.9892,0.4276,0.918
0.0315,0.989,0.3921,0.9196
0.0317,0.9889,0.4037,0.9194
0.0308,0.9893,0.451,0.9139
0.0312,0.9893,0.3902,0.9208
0.0285,0.9906,0.4217,0.9223
0.032,0.9882,0.4142,0.9192
0.0287,0.9904,0.4707,0.9124
0.0243,0.9916,0.4444,0.9176
0.0295,0.9898,0.4116,0.9165
0.0242,0.9916,0.4348,0.9171
0.0282,0.9902,0.4148,0.9178
0.0238,0.9919,0.4115,0.921
0.0268,0.99,0.4267,0.9217
0.0248,0.9917,0.3805,0.9251
0.0232,0.9923,0.4476,0.9189
0.0242,0.9914,0.4264,0.9212
0.0252,0.9916,0.4149,0.9208
0.025,0.9915,0.4239,0.9236
0.0212,0.9929,0.4282,0.9213
0.0233,0.9922,0.463,0.9147
0.023,0.992,0.4481,0.919
0.0231,0.9921,0.4367,0.9178
0.0201,0.9934,0.4245,0.9223
0.0203,0.9931,0.4231,0.922
0.0214,0.9929,0.4659,0.9203
0.0218,0.9927,0.4995,0.9143
0.0192,0.9932,0.4381,0.9223
0.0207,0.9932,0.4799,0.9178
0.0202,0.9929,0.5044,0.9169
0.0195,0.9932,0.465,0.9181
0.0209,0.9931,0.4386,0.9217
0.0186,0.9935,0.4378,0.9213
0.0166,0.994,0.469,0.9165
0.0199,0.993,0.4978,0.9142
0.0162,0.9947,0.4314,0.9282
0.0187,0.9931,0.4444,0.9213
0.0189,0.9935,0.4465,0.9243
0.018,0.9934,0.4573,0.9227
0.0189,0.9935,0.4318,0.9235
0.0151,0.9949,0.4723,0.9201
0.0181,0.9942,0.4293,0.9278
0.0169,0.9942,0.4457,0.9251
0.0146,0.9954,0.5198,0.9164
